"supervisor","subordinate"
"4949","38943"
"79916","79889"
"32304","76031"
"31018","90203"
"8236","23370"
"31982","61405"
"7389","421"
"56122","49820"
"29772","79212"
"7409","2780"
"23767","23965"
"29667","34437"
"7409","2773"
"6938","89579"
"80540","34903"
"42921","91618"
"43473","71238"
"7100","83581"
"14027","73515"
"3047","3213"
"9083","62047"
"52128","81053"
"52417","51580"
"6298","74989"
"55636","68826"
"23060","92674"
"78130","62197"
"26910","62436"
"43473","93611"
"7409","15458"
"9083","78953"
"2175","72729"
"46952","60861"
"21650","91944"
"8782","5916"
"9677","22135"
"45483","34435"
"26166","22563"
"32510","90943"
"15255","65574"
"54115","70447"
"9677","50512"
"25","84229"
"12257","5859"
"4663","75423"
"21971","8566"
"10796","18847"
"50496","26020"
"14629","45669"
"2581","3985"
"2103","62233"
"26394","4715"
"4970","48229"
"26913","47297"
"51893","56834"
"9677","4594"
"1986","7997"
"50050","71887"
"11719","79617"
"51681","51357"
"31723","31741"
"4736","18109"
"59752","75706"
"19586","83127"
"1417","67036"
"50414","62297"
"1193","67915"
"13974","90432"
"1733","35037"
"55063","15989"
"51839","51375"
"74842","14560"
"22551","68172"
"10753","74616"
"67793","6273"
"1183","13110"
"23932","61235"
"57703","51635"
"39543","41487"
"4378","93378"
"10780","16114"
"51893","56835"
"1210","54259"
"47132","51177"
"6328","68130"
"12405","24621"
"7365","75779"
"79995","51246"
"17920","76705"
"11436","15460"
"2334","49326"
"3602","43111"
"6598","16538"
"8179","16746"
"7744","84328"
"13408","14145"
"12329","13056"
"15385","79311"
"49294","47962"
"36045","31596"
"7598","60793"
"29923","59147"
"44771","22813"
"49579","66065"
"6157","4847"
"12763","42220"
"77844","46416"
"59752","53948"
"5391","47131"
"23423","2331"
"4785","11325"
"4943","90231"
"84428","84474"
"86885","85932"
"3501","42992"
"29191","29735"
"12257","38924"
"19957","14034"
"13193","42599"
"55838","27519"
"3593","87995"
"30755","24217"
"33543","78977"
"14096","26678"
"4251","2528"
"8330","91124"
"1243","27455"
"694","55243"
"6305","75259"
"3438","22180"
"22174","78031"
"41935","24893"
"7164","9192"
"6509","10109"
"42597","43940"
"55063","9191"
"3438","23812"
"9607","25168"
"68122","36840"
"15858","23619"
"16632","16626"
"6162","67928"
"54160","90746"
"24198","24240"
"47316","49360"
"33378","76282"
"2198","18706"
"1518","17883"
"70805","61369"
"5614","55937"
"32690","76945"
"40603","20306"
"2249","74295"
"25788","31640"
"818","4115"
"67150","83290"
"67150","83285"
"2568","18939"
"2030","7213"
"61410","72086"
"11791","57350"
"47198","72284"
"11098","92474"
"79909","81059"
"35806","74657"
"8414","58886"
"12208","29107"
"8517","61227"
"69233","17364"
"44022","55410"
"7242","13655"
"3851","3923"
"22962","14227"
"11940","68807"
"47652","81753"
"9730","72243"
"15450","39336"
"24832","3750"
"3643","57990"
"2717","85421"
"5972","38964"
"18728","1283"
"14994","46962"
"8181","56627"
"11584","21652"
"823","9593"
"42842","67112"
"12329","30641"
"6227","5987"
"24244","24690"
"24832","73166"
"46388","84122"
"7555","14198"
"2249","35192"
"27170","39448"
"18295","55959"
"52328","51426"
"31857","66414"
"76681","21038"
"23097","80742"
"7459","19581"
"12263","47856"
"61410","82743"
"17279","14050"
"25478","34500"
"34290","35018"
"20355","5507"
"44631","84082"
"79941","88840"
"6268","72420"
"22188","41575"
"11324","40194"
"31149","55394"
"2533","1282"
"277","25651"
"11551","18795"
"29173","27799"
"489","69715"
"8414","83627"
"53360","51716"
"18807","3483"
"3301","3748"
"1516","77262"
"23066","69326"
"13416","30082"
"17723","17779"
"7462","9209"
"46388","84199"
"74928","16956"
"21650","71773"
"39312","91114"
"2874","49434"
"769","67172"
"8414","79806"
"23347","1977"
"7409","46121"
"6298","57161"
"41964","27393"
"53308","51548"
"8930","80061"
"4044","23996"
"1498","77237"
"14832","66381"
"29178","29578"
"33076","71652"
"46265","61246"
"43473","46476"
"12263","22172"
"87631","85933"
"26913","31082"
"345","43182"
"51307","58988"
"7216","60550"
"6298","55541"
"9678","14682"
"47652","82160"
"2103","29975"
"28095","33730"
"3335","19219"
"25222","62723"
"9034","57567"
"17174","5498"
"5518","78831"
"13939","79479"
"1826","49638"
"9678","4230"
"18524","27467"
"25788","48655"
"1211","21894"
"1899","78607"
"8414","85450"
"4535","60465"
"7281","26027"
"398","65608"
"8388","42376"
"29752","38432"
"58052","49648"
"7740","75711"
"3921","42851"
"7125","32631"
"18847","93640"
"93112","6707"
"86608","85934"
"39072","63921"
"7075","9123"
"61410","60621"
"66912","53794"
"7125","51092"
"7119","58952"
"28806","5138"
"24163","55368"
"49621","50014"
"326","85904"
"2869","83267"
"27858","49242"
"3557","3420"
"86105","85935"
"3851","3866"
"17743","70912"
"769","767"
"12257","4899"
"27151","4525"
"9065","83240"
"594","9052"
"25989","51502"
"79981","81061"
"54347","54403"
"10126","89407"
"5317","32323"
"2668","82257"
"3839","93483"
"39593","76122"
"87717","85936"
"14268","27273"
"54374","51317"
"32737","58422"
"56638","17814"
"15724","60338"
"51968","51458"
"22039","60897"
"7115","32236"
"12252","44223"
"23372","25009"
"35975","70197"
"6268","45672"
"58824","72633"
"3009","61203"
"2581","21912"
"51808","51663"
"8962","76393"
"19970","57193"
"43473","70892"
"29558","29016"
"60657","79793"
"12263","46414"
"51716","51386"
"52267","61259"
"51839","51276"
"52511","51407"
"31982","71792"
"65362","28441"
"53627","40621"
"51846","51718"
"12263","71100"
"52106","51637"
"2530","34477"
"1695","38321"
"276","1046"
"85938","85232"
"276","1003"
"77844","80688"
"12263","71638"
"7557","7568"
"23434","14287"
"27858","46029"
"9551","31871"
"7306","29625"
"24410","55795"
"46100","59827"
"79951","81063"
"7694","5679"
"86555","88667"
"16059","25765"
"51708","58271"
"38931","83479"
"29173","58528"
"77740","47506"
"11360","18308"
"51084","73230"
"21620","72068"
"25311","19613"
"7334","60785"
"7598","83770"
"27764","69240"
"4197","65204"
"18261","60487"
"14646","60533"
"35192","82278"
"10751","50411"
"3047","3246"
"9006","6003"
"39593","13603"
"31982","39409"
"51681","51662"
"7409","32348"
"7409","2772"
"1243","50081"
"6298","91437"
"1919","4026"
"44022","63481"
"24315","46130"
"27723","93659"
"22766","49359"
"1397","65813"
"26965","26959"
"19626","33980"
"52687","19073"
"2256","15486"
"9678","9521"
"540","5110"
"18223","93555"
"7633","90730"
"52063","51568"
"8688","68486"
"15635","53876"
"2175","65628"
"18223","69621"
"5410","5673"
"1262","40016"
"85320","76044"
"24281","24413"
"14578","48740"
"20004","56818"
"3851","3907"
"82547","56725"
"4763","2368"
"22523","31683"
"31277","74556"
"43468","30072"
"29656","85768"
"7135","84750"
"63655","14924"
"27550","44888"
"28006","16053"
"15858","23245"
"53031","51732"
"1237","41258"
"4927","21241"
"40072","16047"
"39593","31492"
"39593","29763"
"28373","2860"
"29668","65824"
"24775","32278"
"29183","56948"
"2172","17195"
"15161","19989"
"12786","12996"
"6303","88030"
"32112","76897"
"12786","79605"
"6375","23649"
"6873","83660"
"7122","66068"
"23370","73708"
"76502","89803"
"12257","56551"
"16572","16606"
"7568","38460"
"12257","37692"
"61001","83460"
"89925","22415"
"2581","4978"
"1826","15339"
"2024","2374"
"7594","11113"
"26993","90961"
"7633","9542"
"28535","25214"
"6340","22826"
"345","23866"
"92545","72798"
"78619","77259"
"61410","93827"
"25","85494"
"11291","79586"
"25788","38963"
"6352","6622"
"14414","39558"
"9543","20690"
"194","183"
"19963","31499"
"12263","43951"
"9711","10642"
"31982","69628"
"7122","31624"
"7139","6148"
"65371","27022"
"38498","68718"
"22570","67772"
"28042","90562"
"18069","72808"
"9899","59028"
"9905","68065"
"719","19658"
"51450","90956"
"25788","25891"
"56428","56117"
"8250","14231"
"6523","71900"
"345","63034"
"18320","12477"
"31639","90867"
"22532","77008"
"68067","67355"
"47548","73578"
"59752","77529"
"53487","53484"
"24234","24856"
"20012","874"
"385","41768"
"69658","80521"
"79227","2293"
"20952","73751"
"12405","24575"
"31149","55246"
"52605","51605"
"29038","28925"
"13952","70649"
"50","24410"
"35192","51308"
"35192","36279"
"63541","10758"
"15387","16317"
"29149","28954"
"10718","63090"
"29149","29434"
"4779","15263"
"641","38583"
"8892","55078"
"35976","72795"
"28517","42179"
"47593","54356"
"21650","91945"
"7805","56244"
"44357","28231"
"53272","56732"
"7744","12929"
"7415","28976"
"342","5684"
"4900","44759"
"10041","39908"
"7409","2771"
"1986","74216"
"13416","36871"
"59736","64391"
"14456","93703"
"28492","74185"
"88666","88745"
"86295","85937"
"85207","85938"
"31982","85785"
"50306","90348"
"21065","64183"
"1438","9240"
"6263","21455"
"8930","32128"
"33569","44224"
"58857","54312"
"8782","58277"
"3443","33952"
"20952","34227"
"56122","50158"
"1329","19266"
"2105","12591"
"27858","81054"
"14388","70687"
"3069","44932"
"50890","70819"
"26703","21999"
"10971","11142"
"6268","82613"
"74423","30860"
"20004","58165"
"3076","64280"
"4438","49107"
"9507","40749"
"10121","10119"
"13193","83543"
"2878","6236"
"14650","22391"
"39593","30726"
"12329","12973"
"14449","15029"
"51632","51475"
"52643","56373"
"17682","8339"
"29382","75526"
"10740","66621"
"7409","2770"
"11965","19123"
"55091","90021"
"12812","53862"
"10768","19598"
"33783","33813"
"665","71006"
"8414","83177"
"21650","91109"
"26394","43477"
"6268","5125"
"40814","57613"
"492","8111"
"9852","21353"
"60657","91278"
"9469","60065"
"5408","5397"
"25","56654"
"40598","60483"
"14027","62136"
"28806","77116"
"7320","93257"
"348","34276"
"14027","43110"
"13395","2702"
"25788","25190"
"2103","14559"
"5578","13692"
"79960","81065"
"16111","20164"
"6298","56381"
"64050","4092"
"22538","80076"
"16666","15480"
"52373","51281"
"72196","27002"
"59752","60591"
"51632","51259"
"23987","28045"
"14062","68481"
"49108","85291"
"8642","8672"
"63803","78013"
"45483","22067"
"44122","56616"
"1464","57160"
"385","66904"
"51985","62488"
"15813","15901"
"4463","32322"
"1629","85731"
"55900","63570"
"8752","80168"
"74324","80309"
"11665","18152"
"526","8216"
"28373","47835"
"87932","17179"
"51423","51394"
"29656","69073"
"6268","89582"
"79969","81066"
"23372","91217"
"2406","93592"
"88666","85939"
"1429","15942"
"7204","7449"
"8603","45897"
"2103","12381"
"1561","29211"
"9034","46410"
"7312","12613"
"7560","64007"
"487","60180"
"44758","17655"
"6340","55510"
"87549","85940"
"72230","85737"
"8396","8604"
"38498","79457"
"50670","60576"
"12623","50220"
"6268","74438"
"9053","57102"
"1546","1816"
"10640","11286"
"29099","32587"
"9515","16743"
"15450","65613"
"7309","91461"
"46388","49512"
"9977","13349"
"2337","13474"
"51981","72155"
"19732","42314"
"285","1996"
"326","19196"
"45935","1979"
"30795","30774"
"2300","4503"
"7694","4652"
"36627","74612"
"31067","26422"
"3376","82325"
"9082","9092"
"6328","67673"
"4438","91464"
"29752","30433"
"9515","24019"
"8686","6679"
"39121","14460"
"8977","26244"
"1200","6788"
"8958","21156"
"7637","23809"
"14388","14777"
"28901","30727"
"89028","91161"
"1210","5490"
"84387","84475"
"14388","30069"
"3003","41916"
"34889","33458"
"73289","75244"
"33378","76182"
"52912","94098"
"7835","20979"
"8173","8383"
"13939","7212"
"15385","79319"
"22813","74419"
"51968","70325"
"6417","49204"
"20651","6709"
"565","685"
"326","65967"
"33421","77770"
"86956","85941"
"72196","10181"
"25788","75463"
"81178","81830"
"4202","54103"
"33860","25782"
"23368","35657"
"56428","51347"
"3602","78038"
"9053","9251"
"14268","14394"
"29038","31096"
"31067","26423"
"7389","32764"
"53494","80649"
"10755","14473"
"1397","15586"
"43473","93551"
"43473","59309"
"60498","80444"
"20004","38350"
"1168","6708"
"8977","4181"
"59314","25362"
"895","84347"
"30468","68197"
"44405","3383"
"20004","79177"
"10501","10353"
"1826","8086"
"61006","54681"
"8414","89387"
"26231","6484"
"12263","81795"
"12786","12572"
"8934","80159"
"68958","46189"
"2584","69581"
"43468","25774"
"30243","90865"
"916","2546"
"8414","81044"
"2581","5337"
"26405","79792"
"16028","78233"
"20004","27251"
"1163","6763"
"11711","36050"
"17946","21839"
"9874","10049"
"47198","59648"
"33076","65323"
"19422","41883"
"9711","15136"
"14268","15309"
"2632","38848"
"85120","85150"
"2117","40019"
"31257","83952"
"19674","76335"
"17874","34890"
"7409","70089"
"6278","5212"
"47132","56729"
"42867","83092"
"7102","14734"
"7100","11055"
"7409","64659"
"11676","93444"
"3521","3760"
"28992","31575"
"8763","60640"
"47608","67094"
"61410","72451"
"29372","32687"
"7306","26199"
"18049","42655"
"7996","14415"
"78619","50834"
"18725","1340"
"25310","47644"
"15434","53916"
"31149","35877"
"87516","85942"
"2632","74237"
"61726","29285"
"1561","26183"
"18480","61838"
"27467","2460"
"85938","85233"
"22866","27557"
"3501","63437"
"6298","78333"
"13264","80654"
"28455","28414"
"7309","73283"
"8479","8369"
"25310","25087"
"7204","56539"
"2548","32171"
"13193","40066"
"17430","47852"
"41537","12378"
"66831","59670"
"84603","84476"
"11365","28154"
"60657","81730"
"25788","68372"
"817","4117"
"29533","25260"
"26166","56099"
"51290","53018"
"51308","69330"
"8782","15783"
"7409","28491"
"2063","53790"
"2301","69692"
"8976","27762"
"9507","34382"
"8414","66230"
"60657","91241"
"10698","39977"
"11436","40955"
"79672","27115"
"24186","24210"
"7140","54806"
"23987","25687"
"76502","89481"
"29193","59122"
"2425","44866"
"87903","85943"
"44737","22832"
"24184","24598"
"9890","4244"
"31067","27601"
"28455","28418"
"20004","67575"
"3441","39577"
"7362","43958"
"20161","51183"
"14550","7683"
"87417","85944"
"869","878"
"18320","83028"
"87516","85945"
"27467","649"
"89486","93416"
"7109","10086"
"70545","70544"
"7312","12545"
"25300","21395"
"14119","65662"
"21650","73402"
"385","4810"
"16682","72498"
"26394","14018"
"51084","60853"
"5805","68916"
"7390","14851"
"24151","23368"
"45376","67901"
"25811","39331"
"18049","18317"
"86885","89647"
"293","31797"
"87241","85946"
"87330","85947"
"66088","79391"
"33543","38846"
"50733","70648"
"10207","65744"
"194","167"
"1561","29199"
"10787","12790"
"21971","92948"
"9711","58406"
"87631","85948"
"44022","62141"
"4238","5330"
"15579","14571"
"28803","22193"
"11738","47974"
"11436","39107"
"61410","85412"
"13961","18954"
"5438","75550"
"79901","79890"
"323","58307"
"51985","75300"
"8595","67308"
"31982","33265"
"12623","13155"
"818","1102"
"59752","77277"
"817","857"
"9763","10088"
"88601","85949"
"14669","34533"
"8930","70237"
"57789","91372"
"1994","49518"
"17278","61086"
"1356","14833"
"22570","46831"
"7160","51020"
"44877","57132"
"42714","22797"
"12257","33179"
"1975","17415"
"32413","62423"
"29137","61251"
"35975","35983"
"18807","446"
"77844","18833"
"8414","91847"
"1751","41142"
"372","70051"
"26409","14848"
"18285","40622"
"1907","20242"
"40605","60401"
"9100","19577"
"83976","56803"
"9029","50554"
"7637","80020"
"44583","93833"
"62629","62937"
"8414","86962"
"53031","60590"
"9494","70025"
"1868","7045"
"16004","25267"
"380","3891"
"31982","70678"
"3489","48879"
"41537","60051"
"12257","5918"
"7614","4822"
"1629","72588"
"1161","10760"
"25788","75015"
"53922","69385"
"50182","19653"
"4800","5974"
"6325","6203"
"66129","92026"
"7118","4151"
"33787","88914"
"3010","3009"
"4488","2298"
"19982","24572"
"42615","87972"
"61410","72067"
"1173","13222"
"7216","49436"
"44731","34883"
"8228","37878"
"1961","15623"
"1961","7968"
"77739","15373"
"13974","30697"
"3398","8942"
"358","15539"
"10718","72408"
"47198","69912"
"28373","2850"
"296","28397"
"8438","8671"
"44122","89018"
"41979","30659"
"66912","63306"
"86170","85950"
"18526","64154"
"4377","89828"
"24286","57875"
"19767","28641"
"10745","39404"
"7555","13385"
"693","377"
"16123","62092"
"52246","51562"
"2249","73741"
"6298","43161"
"9678","22195"
"18320","42789"
"237","46260"
"10117","2643"
"24080","7054"
"5240","49672"
"5160","5226"
"11961","16645"
"45585","45611"
"63803","39672"
"17732","18071"
"7771","45301"
"25220","66705"
"8228","21948"
"25788","20802"
"27151","68879"
"25311","21732"
"5460","60613"
"13059","55096"
"7456","35930"
"10755","14217"
"55838","39567"
"12257","5519"
"9527","72479"
"16000","3576"
"1179","5487"
"1978","38598"
"1885","34060"
"53061","50342"
"53061","241"
"14046","28480"
"12263","80885"
"27924","61389"
"80765","85951"
"10740","72136"
"1840","12428"
"55644","55759"
"45483","53810"
"12786","13119"
"15694","15278"
"12786","12758"
"8250","15686"
"48942","51566"
"864","12544"
"194","184"
"34770","91995"
"9852","21352"
"9515","19511"
"10762","5405"
"13408","8912"
"4814","69564"
"6491","6710"
"7835","34763"
"8414","91046"
"4319","92342"
"14449","31532"
"20004","58487"
"21650","71174"
"16059","28083"
"47481","77857"
"16160","71504"
"7462","9218"
"326","21668"
"28100","43274"
"10754","38435"
"10754","31185"
"12786","27683"
"24079","2755"
"26965","26962"
"14119","35207"
"33378","62649"
"31758","20293"
"1161","6291"
"91983","93755"
"5391","12440"
"45362","30086"
"1248","3586"
"7102","4701"
"57524","39335"
"13059","64328"
"19","20593"
"70156","83972"
"1193","25432"
"32252","12994"
"69487","17006"
"24286","57908"
"9678","46929"
"52527","51267"
"54347","54365"
"61778","10099"
"1961","93278"
"46593","29065"
"385","22217"
"86799","85952"
"6298","85501"
"6328","68135"
"9100","41453"
"9144","9163"
"15450","56377"
"84419","84477"
"1327","8456"
"29467","31148"
"6294","6615"
"50184","6178"
"33266","64321"
"79188","13793"
"641","5722"
"9640","61419"
"6268","32766"
"895","1112"
"12259","17862"
"19153","28470"
"42714","80955"
"25788","55373"
"25788","21593"
"38122","79622"
"6328","64350"
"28394","39522"
"3329","90222"
"13978","82539"
"53308","63056"
"1961","10872"
"3557","3766"
"1961","8068"
"4663","75386"
"32517","78952"
"12329","62650"
"8414","90514"
"51841","51310"
"52328","51725"
"9551","64079"
"365","92082"
"61053","64853"
"21266","19109"
"6268","90957"
"13961","5531"
"6298","43476"
"6268","8017"
"14669","2646"
"79944","81601"
"18320","79544"
"51526","51485"
"52106","51639"
"29176","16568"
"1733","42927"
"10109","38549"
"61962","62571"
"4800","4973"
"24286","28217"
"50414","64697"
"8414","65088"
"87932","16935"
"41125","58588"
"29191","58162"
"4151","77703"
"10762","3332"
"16406","91795"
"10373","69067"
"87332","89779"
"12263","41565"
"1155","42742"
"10806","26121"
"26909","74425"
"298","20851"
"18252","16559"
"4729","69493"
"1193","6826"
"3335","33129"
"1210","55449"
"2635","39695"
"9834","10336"
"51839","82545"
"1664","71554"
"25310","37728"
"8094","8096"
"7320","67108"
"4943","60565"
"91983","51303"
"6268","31650"
"6305","73627"
"12263","68139"
"15327","19341"
"56939","11056"
"13414","77881"
"53627","26194"
"2249","4062"
"58615","31417"
"490","24542"
"82601","47599"
"58359","33229"
"6961","13566"
"26166","5083"
"9678","42408"
"77659","83633"
"5764","57630"
"51033","34532"
"51839","51644"
"31380","94159"
"43473","93249"
"7415","5339"
"9053","92444"
"6268","5149"
"6126","78761"
"8217","3163"
"9057","73530"
"23016","27659"
"24096","65041"
"7043","15638"
